,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.04291160000000005,0.0,0.0,0.02,0.7813720555555557,0.992858888888889,0.8435669444444445,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.04402785000000007,0.0,0.0,0.04,0.7816162222222223,0.9927369444444445,0.8435058333333334,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.03844675000000004,0.0,0.0,0.06,0.7805175555555555,0.9949341666666666,0.8430175000000001,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0.03844675000000004,0.0,0.0,0.08,0.7805175555555555,0.9949341666666666,0.8430175000000001,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0.03844675000000004,0.0,0.0,0.09999999,0.7805175555555555,0.9949341666666666,0.8430175000000001,0.09999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.03844675000000004,0.0,0.0,0.12,0.7805175555555555,0.9949341666666666,0.8430175000000001,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.03844675000000004,0.0,0.0,0.14,0.7805175555555555,0.9949341666666666,0.8430175000000001,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.03844675000000004,0.0,0.0,0.16,0.7805175555555555,0.9949341666666666,0.8430175000000001,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0.03900489999999994,0.0,0.0,0.18,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0.03900489999999994,0.0,0.0,0.2,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.03900489999999994,0.0,0.0,0.22,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0.03900489999999994,0.0,0.0,0.24,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0.03900489999999994,0.0,0.0,0.26,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0.03900489999999994,0.0,0.0,0.28,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0.03900489999999994,0.0,0.0,0.3,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,0.03900489999999994,0.0,0.0,0.32,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,0.03900489999999994,0.0,0.0,0.34,0.7802734444444445,0.9949341666666666,0.8429566666666667,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,0.039563000000000056,0.0,0.0,0.36,0.7800292777777778,0.9949341666666666,0.8429566666666667,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,0.041795399999999996,0.0,0.0,0.38,0.7788086111111111,0.995056111111111,0.8429566666666667,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,0.041795399999999996,0.0,0.0,0.4,0.7788086111111111,0.995056111111111,0.8429566666666667,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,0.04291160000000005,0.0,0.0,0.42,0.7777099444444445,0.9953002777777777,0.8429566666666667,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,0.044585950000000006,0.0,0.0,0.4400001,0.776245111111111,0.9956663888888888,0.8428344444444443,0.4400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,0.04514404999999995,0.0,0.0,0.4600001,0.7757568333333335,0.9957886111111112,0.8427733333333333,0.4600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,0.04626025,0.0,0.0,0.48000010000000004,0.7738037222222223,0.9963377777777778,0.8425291666666667,0.48000010000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
