SId,X,Y,Z,PT,A,B,G,OT
2,-4.699248,16.18506,-37.8842,2.519998,6.745605,-40.25391,132.0117,2.519998
2,-4.051846,15.90601,-37.25912,2.539998,6.481934,-41.06689,133.1763,2.539998
2,-3.449092,15.61579,-36.61172,2.559998,6.108398,-41.96777,134.3408,2.559998
2,-2.879824,15.31441,-35.95316,2.579998,5.646973,-42.86865,135.4834,2.579998
2,-2.310557,14.99071,-35.27227,2.599998,5.185547,-43.74756,136.626,2.599998
2,-1.752451,14.6112,-34.55789,2.619998,4.746094,-44.62646,137.7466,2.619998
2,-1.227832,14.1982,-33.82119,2.639998,4.328613,-45.37354,138.8672,2.639998
2,-0.714375,13.77404,-33.08449,2.659998,3.88916,-45.90088,140.0098,2.659998
2,-0.2455664,13.37221,-32.34779,2.679998,3.427734,-46.14258,141.0645,2.679998
2,0.3460254,12.85875,-31.4325,2.699998,2.768555,-46.05469,142.251,2.699998
2,0.6027539,12.5797,-30.99718,2.719998,2.460938,-45.9668,142.7563,2.719998
2,0.9599414,12.18902,-30.3721,2.739998,1.933594,-45.79102,143.4595,2.739998
2,1.261318,11.80951,-29.79167,2.759998,1.340332,-45.74707,144.1187,2.759998
2,1.495723,11.43,-29.26705,2.779998,0.703125,-45.94482,144.7339,2.779998
2,1.696641,11.05049,-28.78708,2.799998,0.1318359,-46.34033,145.3052,2.799998
2,1.864072,10.6933,-28.35176,2.819998,-0.3295898,-46.86768,145.8325,2.819998
2,2.00918,10.34728,-27.93876,2.839998,-0.7250977,-47.43896,146.3379,2.839998
2,2.154287,10.05706,-27.53692,2.859998,-1.054688,-47.94434,146.8213,2.859998
2,2.299395,9.811494,-27.14625,2.879998,-1.318359,-48.36182,147.2827,2.879998
2,2.466826,9.599414,-26.76674,2.899998,-1.516113,-48.64746,147.7222,2.899998
2,2.623096,9.398496,-26.39839,2.919998,-1.669922,-48.86719,148.1177,2.919998
2,2.745879,9.219902,-26.05236,2.939998,-1.845703,-49.10889,148.4912,2.939998
2,2.835176,9.052471,-25.72866,2.959998,-2.043457,-49.54834,148.8428,2.959998
2,2.913311,8.885039,-25.42728,2.979998,-2.241211,-50.20752,149.1724,2.979998
2,3.002607,8.684121,-25.0701,2.999998,-2.504883,-51.26221,149.6118,2.999998
2,3.047256,8.5725,-24.90267,3.019998,-2.614746,-51.81152,149.8315,3.019998
2,3.114228,8.427393,-24.6571,3.039998,-2.834473,-52.55859,150.1172,3.039998
2,3.192363,8.271123,-24.4227,3.059998,-3.076172,-53.1958,150.3809,3.059998
2,3.259336,8.137177,-24.19945,3.079998,-3.383789,-53.72314,150.5786,3.079998
2,3.326308,7.99207,-23.98737,3.099998,-3.713379,-54.11865,150.7544,3.099998
2,3.404443,7.858125,-23.78646,3.119998,-4.042969,-54.4043,150.9302,3.119998
2,3.49374,7.72418,-23.5967,3.139998,-4.372559,-54.55811,151.1499,3.139998
2,3.583037,7.601397,-23.40694,3.159998,-4.702148,-54.62402,151.3916,3.159998
2,3.70582,7.478613,-23.21719,3.179998,-5.053711,-54.55811,151.6772,3.179998
2,3.828604,7.366992,-23.03859,3.199998,-5.427246,-54.31641,151.9189,3.199998
2,3.973711,7.244209,-22.88232,3.219998,-5.778809,-53.83301,152.0947,3.219998
2,4.096494,7.110264,-22.72606,3.239998,-6.152344,-53.12988,152.1606,3.239998
2,4.208115,6.965156,-22.59211,3.259998,-6.569824,-52.31689,152.1387,3.259998
2,4.28625,6.808887,-22.48049,3.279998,-7.03125,-51.52588,152.0068,3.279998
2,4.353223,6.50751,-22.32422,3.299998,-7.756348,-50.69092,151.7651,3.299998
2,4.364385,6.451699,-22.3019,3.319998,-7.910156,-50.60303,151.6772,3.319998
2,4.364385,6.250781,-22.22376,3.339998,-8.349609,-50.47119,151.5015,3.339998
2,4.330898,6.049863,-22.15679,3.359998,-8.833008,-50.53711,151.3037,3.359998
2,4.275088,5.848945,-22.10098,3.379997,-9.338379,-50.73486,151.084,3.379997
2,4.185791,5.648027,-22.034,3.399997,-9.84375,-50.99854,150.7983,3.399997
2,4.107656,5.447109,-21.97819,3.419997,-10.30518,-51.24023,150.5347,3.419997
2,4.007197,5.246192,-21.92238,3.439997,-10.72266,-51.43799,150.293,3.439997
2,3.873252,5.011787,-21.85541,3.459997,-11.20605,-51.61377,149.9854,3.459997
2,3.806279,4.900166,-21.83309,3.479997,-11.44775,-51.67969,149.8096,3.479997
2,3.694658,4.766221,-21.7996,3.499997,-11.7334,-51.76758,149.5898,3.499997
2,3.594199,4.676924,-21.78844,3.519997,-11.90918,-51.85547,149.458,3.519997
2,3.527226,4.609951,-21.77728,3.539997,-11.9751,-51.96533,149.4141,3.539997
2,3.471416,4.565303,-21.76611,3.559997,-12.04102,-52.14111,149.436,3.559997
2,3.415606,4.520654,-21.75495,3.579997,-12.12891,-52.38281,149.502,3.579997
2,3.370957,4.476006,-21.73263,3.599997,-12.28271,-52.75635,149.5679,3.599997
2,3.315146,4.420195,-21.7103,3.619997,-12.43652,-53.32764,149.6338,3.619997
2,3.270498,4.364385,-21.68798,3.639997,-12.56836,-54.00879,149.7217,3.639997
2,3.237012,4.319736,-21.66566,3.659997,-12.67822,-54.66797,149.8315,3.659997
2,3.203525,4.28625,-21.65449,3.679997,-12.76611,-55.19531,149.9414,3.679997
2,3.170039,4.252764,-21.64333,3.699997,-12.89795,-55.5249,150.0073,3.699997
2,3.125391,4.208115,-21.63217,3.719997,-13.05176,-55.72266,150.0073,3.719997
2,3.080742,4.163467,-21.62101,3.739997,-13.22754,-55.83252,149.9634,3.739997
2,3.024932,4.118818,-21.60984,3.759997,-13.38135,-55.92041,149.9414,3.759997
2,2.991445,4.096494,-21.59868,3.779997,-13.44727,-55.98633,149.9634,3.779997
2,2.969121,4.085332,-21.57636,3.799997,-13.49121,-56.05225,150.0293,3.799997
2,2.957959,4.07417,-21.55403,3.819997,-13.53516,-56.09619,150.1172,3.819997
2,2.935635,4.040684,-21.52055,3.839997,-13.62305,-56.11816,150.2051,3.839997
2,2.935635,4.007197,-21.4759,3.859997,-13.75488,-56.05225,150.3149,3.859997
2,2.935635,3.962549,-21.42009,3.879997,-13.93066,-55.87646,150.4468,3.879997
2,2.946797,3.929063,-21.36428,3.899997,-14.10645,-55.61279,150.5786,3.899997
2,2.957959,3.906738,-21.34195,3.919997,-14.19434,-55.41504,150.6445,3.919997
2,2.969121,3.884414,-21.30847,3.939997,-14.32617,-55.17334,150.7324,3.939997
2,2.980283,3.873252,-21.28614,3.959997,-14.41406,-54.95361,150.7764,3.959997
2,3.002607,3.850928,-21.26382,3.979997,-14.56787,-54.62402,150.8203,3.979997
2,3.002607,3.817441,-21.24149,3.999997,-14.72168,-54.22852,150.8643,3.999997
2,3.01377,3.795117,-21.23033,4.019997,-14.85352,-53.96484,150.9082,4.019997
2,3.01377,3.761631,-21.23033,4.039997,-14.96338,-53.81104,150.9521,4.039997
2,3.024932,3.728145,-21.23033,4.059997,-15.11719,-53.74512,151.04,4.059997
2,3.024932,3.716982,-21.23033,4.079997,-15.18311,-53.72314,151.084,4.079997
2,3.024932,3.694658,-21.23033,4.099997,-15.271,-53.70117,151.1279,4.099997
2,3.024932,3.683496,-21.23033,4.119997,-15.33691,-53.70117,151.1719,4.119997
2,3.036094,3.672334,-21.24149,4.139997,-15.4248,-53.70117,151.2158,4.139997
2,3.036094,3.65001,-21.24149,4.159997,-15.53467,-53.6792,151.2598,4.159997
2,3.036094,3.616524,-21.25266,4.179997,-15.6665,-53.65723,151.2817,4.179997
2,3.047256,3.583037,-21.27498,4.199997,-15.88623,-53.54736,151.3037,4.199997
2,3.058418,3.527226,-21.30847,4.219997,-16.23779,-53.41553,151.3037,4.219997
2,3.091904,3.449092,-21.35312,4.239997,-16.74316,-53.28369,151.2598,4.239997
2,3.114228,3.370957,-21.40893,4.259997,-17.3584,-53.21777,151.2378,4.259997
2,3.136553,3.270498,-21.45358,4.279997,-18.06152,-53.17383,151.2378,4.279997
2,3.158877,3.181201,-21.49822,4.299997,-18.76465,-53.08594,151.2817,4.299997
2,3.192363,3.091904,-21.53171,4.319997,-19.37988,-52.97607,151.3037,4.319997
2,3.214688,3.024932,-21.5652,4.339997,-19.86328,-52.91016,151.3477,4.339997
2,3.237012,2.957959,-21.58752,4.359997,-20.43457,-52.84424,151.4136,4.359997
2,3.237012,2.924473,-21.59868,4.379997,-20.58838,-52.84424,151.4575,4.379997
2,3.237012,2.902148,-21.60984,4.399997,-20.80811,-52.80029,151.5234,4.399997
2,3.248174,2.890986,-21.60984,4.419997,-20.91797,-52.7124,151.5674,4.419997
2,3.248174,2.890986,-21.60984,4.439997,-20.98389,-52.55859,151.5894,4.439997
2,3.248174,2.890986,-21.60984,4.459997,-20.98389,-52.40479,151.5674,4.459997
2,3.259336,2.890986,-21.59868,4.479997,-20.96191,-52.29492,151.5454,4.479997
2,3.259336,2.902148,-21.59868,4.499997,-20.91797,-52.20703,151.5015,4.499997
2,3.259336,2.924473,-21.60984,4.519997,-20.83008,-52.11914,151.4795,4.519997
2,3.259336,2.935635,-21.60984,4.539997,-20.76416,-52.05322,151.4575,4.539997
2,3.270498,3.01377,-21.62101,4.559997,-20.30273,-51.78955,151.3477,4.559997
2,3.303984,3.259336,-21.65449,4.579997,-18.80859,-51.13037,151.106,4.579997
2,3.315146,3.449092,-21.66566,4.599997,-17.70996,-50.88867,150.9741,4.599997
2,3.326308,3.638848,-21.66566,4.619997,-16.52344,-50.8667,150.8862,4.619997
2,3.315146,3.806279,-21.64333,4.639997,-15.38086,-51.13037,150.7983,4.639997
2,3.303984,3.940225,-21.60984,4.659997,-14.41406,-51.5918,150.7104,4.659997
2,3.270498,4.040684,-21.5652,4.679996,-13.66699,-52.14111,150.6445,4.679996
2,3.237012,4.07417,-21.54287,4.699996,-13.22754,-52.4707,150.5786,4.699996
2,3.192363,4.118818,-21.50938,4.719996,-12.854,-52.77832,150.4907,4.719996
2,3.147715,4.141142,-21.48706,4.739996,-12.63428,-52.93213,150.4028,4.739996
2,3.091904,4.141142,-21.46474,4.759996,-12.59033,-52.99805,150.3149,4.759996
2,3.058418,4.118818,-21.43125,4.779996,-12.65625,-53.06396,150.293,4.779996
2,3.024932,4.063008,-21.3866,4.799996,-12.87598,-53.1958,150.3369,4.799996
2,3.024932,4.007197,-21.34195,4.819996,-13.13965,-53.34961,150.4907,4.819996
2,3.024932,3.996035,-21.33079,4.839996,-13.20557,-53.34961,150.5127,4.839996
2,3.024932,3.951387,-21.30847,4.859996,-13.35938,-53.39355,150.6006,4.859996
2,3.024932,3.940225,-21.2973,4.879996,-13.44727,-53.39355,150.6226,4.879996
2,3.036094,3.895576,-21.27498,4.899996,-13.62305,-53.34961,150.6885,4.899996
2,3.036094,3.850928,-21.24149,4.919996,-13.88672,-53.15186,150.7764,4.919996
