,X,Y,Z,A,B,G,Vx,Vy,Vz,Va,Vb,Vg,Time,Square,Circle
0,-9.231065,7.076777,-25.10358,-24.104,-8.76709,173.7817,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1,0
1,-9.264551,4.420195,-22.78187,-24.104,-8.76709,173.7817,-1.674300000000084,-132.8291,116.08549999999997,0.0,0.0,0.0,0.04,1,0
2,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,2.2324500000000307,-0.5580000000000142,4.394499999999902,4.3945499999999535,-5.490000000000351,0.06,1,0
3,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0
4,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999,1,0
5,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1,0
6,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1,0
7,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1,0
8,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1,0
9,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
10,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1,0
11,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1,0
12,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1,0
13,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1,0
14,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1,0
15,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1,0
16,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1,0
17,-9.264551,4.464844,-22.79303,-24.01611,-8.679199,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1,0
18,-9.264551,4.453681,-22.79303,-24.03809,-8.701172,173.6719,0.0,-0.5581500000000346,0.0,-1.0989999999999602,-1.0986499999999557,0.0,0.38,1,0
19,-9.264551,4.453681,-22.79303,-24.03809,-8.701172,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0
20,-9.264551,4.453681,-22.79303,-24.03809,-8.701172,173.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1,0
21,-9.275713,4.420195,-22.78187,-24.14795,-8.723145,173.6938,-0.5580972095138911,-1.6742916285418508,0.5579972100139634,-5.492972535137378,-1.0986445067775104,1.0949945250281967,0.4400001,1,0
22,-9.298038,4.342061,-22.75954,-24.43359,-8.811035,173.7378,-1.1162500000000177,-3.9066999999999705,1.1165000000000083,-14.281999999999849,-4.3944999999999865,2.199999999999134,0.4600001,1,0
23,-9.309199,4.275088,-22.74838,-24.63135,-8.876953,173.7598,-0.5580499999999776,-3.3486500000000037,0.558000000000015,-9.888000000000138,-3.2959000000000023,1.100000000000991,0.4800001,1,0
24,-9.331524,4.118818,-22.71489,-25.18066,-8.876953,173.6938,-1.1162500000000206,-7.813500000000022,1.6745000000000263,-27.465499999999974,0.0,-3.3000000000001313,0.5000001,1,0
25,-9.365009,3.929063,-22.68141,-25.90576,-8.789063,173.584,-1.6742583712918833,-9.487797438987156,1.6740083700418864,-36.25518127590631,4.394521972609837,-5.490027450137582,0.52,1,0
26,-9.365009,3.806279,-22.64792,-26.32324,-8.723145,173.4961,0.0,-6.139200000000006,1.6745000000000216,-20.873999999999864,3.295899999999993,-4.3949999999995235,0.54,1,0
27,-9.387334,3.605361,-22.60327,-27.07031,-8.635254,173.3423,-1.116249999999929,-10.045899999999998,2.2325000000000355,-37.353500000000004,4.394550000000038,-7.6900000000009,0.56,1,0
28,-9.409658,3.460254,-22.56979,-27.59766,-8.591309,173.2764,-1.1162000000000611,-7.2553500000000275,1.6739999999998723,-26.367500000000224,2.197249999999961,-3.2949999999999746,0.58,1,0
29,-9.42082,3.248174,-22.50281,-28.41064,-8.569336,173.1665,-0.5581000000000276,-10.603999999999981,3.3490000000000433,-40.648999999999944,1.0986500000000445,-5.494999999999091,0.6,1,0
30,-9.431982,3.036094,-22.43584,-29.20166,-8.591309,173.1006,-0.5581027905138898,-10.604053020265077,3.3485167425837665,-39.551197755988625,-1.0986554932775079,-3.295016475083744,0.6199999,1,0
31,-9.431982,2.801689,-22.3577,-30.03662,-8.547363,173.0127,0.0,-11.720250000000043,3.906999999999901,-41.74800000000013,2.1973000000000122,-4.3949999999995475,0.6399999,1,0
32,-9.443145,2.455664,-22.25725,-31.31104,-8.305664,172.771,-0.5581499999999902,-17.301249999999985,5.022500000000103,-63.720999999999904,12.084950000000017,-12.085000000000424,0.6599999,1,0
