,X,Y,Z,A,B,G,Vx,Vy,Vz,Va,Vb,Vg,Time,Square,Circle
566,-7.154912,-3.237012,-19.71229,-26.32324,-21.95068,-176.2427,12.836449999999132,7.255349999999504,-10.603999999999298,-2.1969999999998118,-16.47949999999887,24.169999999997817,11.34007,0,1
567,-6.875859,-3.125391,-19.93553,-26.36719,-22.2583,-175.7593,13.952650000000308,5.5810500000001175,-11.162000000000265,-2.1975000000001654,-15.381000000000329,24.170000000001384,11.36007,0,1
568,-6.607969,-3.024932,-20.15877,-26.41113,-22.52197,-175.2979,13.394500000000306,5.0229500000001,-11.162000000000265,-2.1970000000000067,-13.18350000000034,23.07000000000037,11.38007,0,1
569,-6.340078,-2.946797,-20.39317,-26.41113,-22.71973,-174.9023,13.394550000000269,3.9067500000000868,-11.720000000000292,0.0,-9.888000000000153,19.78000000000051,11.40007,0,1
570,-6.072187,-2.868662,-20.62758,-26.41113,-22.87354,-174.5508,13.394549999999123,3.9067499999997395,-11.720499999999054,0.0,-7.690499999999481,17.574999999998177,11.42007,0,1
571,-5.815459,-2.801689,-20.85082,-26.38916,-22.96143,-174.1992,12.836400000000266,3.348650000000069,-11.162000000000265,1.0985000000000034,-4.394500000000172,17.580000000001323,11.44007,0,1
572,-5.569892,-2.734717,-21.0629,-26.36719,-23.02734,-173.8477,12.278350000000232,3.348600000000084,-10.604000000000239,1.0985000000000034,-3.2955000000000103,17.574999999999736,11.46007,0,1
573,-5.335488,-2.656582,-21.26382,-26.32324,-23.09326,-173.5181,11.720200000000276,3.9067500000000646,-10.046000000000214,2.1975000000001654,-3.296000000000169,16.480000000000313,11.48007,0,1
574,-5.101084,-2.578447,-21.45358,-26.21338,-23.15918,-173.2104,11.720200000000231,3.9067500000000868,-9.488000000000188,5.4929999999999986,-3.2959999999999914,15.385000000000888,11.50007,0,1
575,-4.877842,-2.511475,-21.64333,-26.12549,-23.20313,-172.9468,11.162099999999244,3.3485999999997866,-9.487499999999363,4.394499999999782,-2.1974999999999705,13.179999999998946,11.52007,0,1
576,-4.665762,-2.43334,-21.7996,-26.01563,-23.2251,-172.7051,10.604000000000239,3.9067500000000868,-7.813500000000307,5.4929999999999986,-1.0985000000000034,12.085000000000692,11.54007,0,1
577,-4.453681,-2.355205,-21.95587,-25.88379,-23.2251,-172.4634,10.604050000000246,3.9067500000000646,-7.813500000000129,6.59200000000016,0.0,12.08499999999927,11.56007,0,1
578,-4.252764,-2.27707,-22.07865,-25.68604,-23.26904,-172.2656,10.040829585206888,3.904797601199214,-6.13593203398265,9.882558720639338,-2.195902048975366,9.88505747126393,11.58008,0,1
579,-4.051846,-2.22126,-22.17911,-25.42236,-23.31299,-172.0679,10.0459000000002,2.7905000000000664,-5.023000000000196,13.184000000000143,-2.197499999999988,9.885000000000089,11.60008,0,1
580,-3.86209,-2.154287,-22.25725,-25.11475,-23.37891,-171.8701,9.487800000000226,3.348650000000069,-3.9069999999999663,15.380500000000348,-3.296000000000169,9.890000000000255,11.62008,0,1
581,-3.683496,-2.109639,-22.32422,-24.8291,-23.44482,-171.7603,8.929700000000187,2.2324000000000486,-3.348500000000137,14.282500000000324,-3.2955000000000103,5.490000000000467,11.64008,0,1
582,-3.460254,-2.053828,-22.39119,-24.43359,-23.4668,-171.6943,11.162099999999244,2.7905499999998034,-3.3484999999998393,19.775499999998743,-1.098999999999887,3.299999999999902,11.66008,0,1
583,-3.370957,-2.020342,-22.41352,-24.23584,-23.44482,-171.7163,4.464850000000082,1.6743000000000532,-1.1164999999998553,9.887500000000172,1.0989999999999847,-1.0999999999995915,11.68008,0,1
584,-3.237012,-1.964531,-22.447,-23.92822,-23.40088,-171.7822,6.697250000000153,2.790550000000051,-1.6740000000000779,15.381000000000329,2.1970000000000067,-3.2950000000000292,11.70008,0,1
585,-3.136553,-1.908721,-22.46933,-23.68652,-23.37891,-171.8921,5.0229500000001,2.7905000000000664,-1.116500000000033,12.085000000000159,1.0985000000000034,-5.495000000000633,11.72008,0,1
586,-3.058418,-1.841748,-22.49165,-23.48877,-23.37891,-172.0239,3.9067499999997395,3.3486499999997714,-1.1159999999999528,9.88749999999947,0.0,-6.589999999999473,11.74008,0,1
587,-2.991445,-1.763613,-22.51398,-23.35693,-23.44482,-172.1777,3.348650000000069,3.9067500000000757,-1.116500000000033,6.59200000000016,-3.2955000000000103,-7.6899999999996504,11.76008,0,1
588,-2.935635,-1.696641,-22.5363,-23.24707,-23.57666,-172.3755,2.7905000000000664,3.348600000000073,-1.1160000000000518,5.4929999999999986,-6.59200000000016,-9.890000000000255,11.78008,0,1
589,-2.890986,-1.64083,-22.54746,-23.20313,-23.73047,-172.5732,2.2324500000000556,2.7905500000000623,-0.5580000000000259,2.1970000000000067,-7.690500000000164,-9.88500000000151,11.80008,0,1
590,-2.868662,-1.607344,-22.56979,-23.2251,-23.88428,-172.793,1.1161999999999141,1.6742999999998822,-1.1164999999999339,-1.0984999999999059,-7.690499999999481,-10.989999999998869,11.82008,0,1
591,-2.868662,-1.58502,-22.60327,-23.35693,-23.97217,-173.0127,0.0,1.1162000000000243,-1.6739999999999002,-6.591500000000002,-4.3944999999999945,-10.98499999999968,11.84008,0,1
592,-2.890986,-1.58502,-22.6256,-23.53271,-24.01611,-173.2324,-1.1162000000000132,0.0,-1.116500000000033,-8.789000000000344,-2.1970000000001844,-10.9850000000011,11.86008,0,1
593,-2.924473,-1.618506,-22.65908,-23.79639,-24.01611,-173.562,-1.674350000000038,-1.674300000000031,-1.6740000000000779,-13.184000000000143,0.0,-16.480000000000313,11.88008,0,1
594,-3.036094,-1.741289,-22.73722,-24.49951,-24.01611,-174.4409,-5.581049999999622,-6.1391499999995895,-3.9069999999997966,-35.155999999997725,0.0,-43.944999999996405,11.90008,0,1
